NC_045512.2	29903	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	Coronaviridae	0	30000
NC_034440.1	29642	Bat coronavirus isolate PREDICT/PDF-2180, complete genome	Coronaviridae	0	30000
NC_006213.1	30741	Human coronavirus OC43 strain ATCC VR-759, complete genome	Coronaviridae	0	30000
NC_039208.1	25425	Porcine coronavirus HKU15 strain HKU15-155, complete genome	Coronaviridae	0	30000
NC_039207.1	30148	Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, complete genome	Coronaviridae	0	30000
NC_038861.1	28586	Transmissible gastroenteritis virus complete genome, genomic RNA	Coronaviridae	0	30000
NC_038294.1	30111	Betacoronavirus England 1, complete genome	Coronaviridae	0	30000
NC_011547.1	26487	Bulbul coronavirus HKU11-934, complete genome	Coronaviridae	0	30000
NC_034972.1	27682	Coronavirus AcCoV-JC34, complete genome	Coronaviridae	0	30000
NC_032730.1	28763	Lucheng Rn rat coronavirus isolate Lucheng-19, complete genome	Coronaviridae	0	30000
NC_032107.1	28363	NL63-related bat coronavirus strain BtKYNL63-9a, complete genome	Coronaviridae	0	30000
NC_030886.1	30161	Rousettus bat coronavirus isolate GCCDC1 356, complete genome	Coronaviridae	0	30000
NC_030292.1	28434	Ferret coronavirus isolate FRCoV-NL-2010, complete genome	Coronaviridae	0	30000
NC_028833.1	27783	BtNv-AlphaCoV/SC2013, complete genome	Coronaviridae	0	30000
NC_028824.1	26975	BtRf-AlphaCoV/YN2012, complete genome	Coronaviridae	0	30000
NC_028814.1	27608	BtRf-AlphaCoV/HuB2013, complete genome	Coronaviridae	0	30000
NC_028811.1	27935	BtMr-AlphaCoV/SAX2011, complete genome	Coronaviridae	0	30000
NC_028806.1	28111	Swine enteric coronavirus strain Italy/213306/2009, complete genome	Coronaviridae	0	30000
NC_028752.1	27395	Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome	Coronaviridae	0	30000
NC_026011.1	31249	Betacoronavirus HKU24 strain HKU24-R05005I, complete genome	Coronaviridae	0	30000
NC_025217.1	31491	Bat Hp-betacoronavirus/Zhejiang2013, complete genome	Coronaviridae	0	30000
NC_019843.3	30119	Middle East respiratory syndrome coronavirus, complete genome	Coronaviridae	0	30000
NC_023760.1	28941	Mink coronavirus strain WD1127, complete genome	Coronaviridae	0	30000
NC_022103.1	28035	Bat coronavirus CDPHE15/USA/2006, complete genome	Coronaviridae	0	30000
NC_018871.1	28494	Rousettus bat coronavirus HKU10, complete genome	Coronaviridae	0	30000
NC_017083.1	31100	Rabbit coronavirus HKU14, complete genome	Coronaviridae	0	30000
NC_016992.1	26083	Sparrow coronavirus HKU17, complete genome	Coronaviridae	0	30000
NC_016991.1	26041	White-eye coronavirus HKU16, complete genome	Coronaviridae	0	30000
NC_016996.1	26223	Common-moorhen coronavirus HKU21, complete genome	Coronaviridae	0	30000
NC_016995.1	26227	Wigeon coronavirus HKU20, complete genome	Coronaviridae	0	30000
NC_016994.1	26077	Night-heron coronavirus HKU19, complete genome	Coronaviridae	0	30000
NC_016993.1	26689	Magpie-robin coronavirus HKU18, complete genome	Coronaviridae	0	30000
NC_002306.3	29355	Feline infectious peritonitis virus, complete genome	Coronaviridae	0	30000
NC_014470.1	29276	Bat coronavirus BM48-31/BGR/2008, complete genome	Coronaviridae	0	30000
NC_012936.1	31250	Rat coronavirus Parker, complete genome	Coronaviridae	0	30000
NC_011550.1	26552	Munia coronavirus HKU13-3514, complete genome	Coronaviridae	0	30000
NC_011549.1	26396	Thrush coronavirus HKU12-600, complete genome	Coronaviridae	0	30000
NC_010800.1	27657	Turkey coronavirus, complete genome	Coronaviridae	0	30000
NC_010646.1	31686	Beluga Whale coronavirus SW1, complete genome	Coronaviridae	0	30000
NC_010438.1	28773	Bat coronavirus HKU8, complete genome	Coronaviridae	0	30000
NC_010437.1	28326	Bat coronavirus 1A, complete genome	Coronaviridae	0	30000
NC_009988.1	27165	Bat coronavirus HKU2, complete genome	Coronaviridae	0	30000
NC_009657.1	28203	Scotophilus bat coronavirus 512, complete genome	Coronaviridae	0	30000
NC_009021.1	29114	Bat coronavirus HKU9-1, complete genome	Coronaviridae	0	30000
NC_009020.1	30482	Bat coronavirus HKU5-1, complete genome	Coronaviridae	0	30000
NC_009019.1	30286	Bat coronavirus HKU4-1, complete genome	Coronaviridae	0	30000
NC_006577.2	29926	Human coronavirus HKU1, complete genome	Coronaviridae	0	30000
NC_005831.2	27553	Human Coronavirus NL63, complete genome	Coronaviridae	0	30000
NC_004718.3	29751	SARS coronavirus, complete genome	Coronaviridae	0	30000
NC_003436.1	28033	Porcine epidemic diarrhea virus, complete genome	Coronaviridae	0	30000
NC_003045.1	31028	Bovine coronavirus, complete genome	Coronaviridae	0	30000
NC_002645.1	27317	Human coronavirus 229E, complete genome	Coronaviridae	0	30000
NC_001846.1	31357	Mouse hepatitis virus strain MHV-A59 C12 mutant, complete genome	Coronaviridae	0	30000
NC_001451.1	27608	Avian infectious bronchitis virus, complete genome	Coronaviridae	0	30000
MF375374.1	28079	Porcine epidemic diarrhea virus isolate CH/JXJA/2017, complete genome	Coronaviridae	0	30000
